pmid,title,abstract
16683630,Organochlorines in antarctic and arctic avian top predators: a comparison between the South Polar Skua and two species of northern hemisphere gulls.,"Different organochlorine compounds (OCs) were measured in the blood of breeding south polar skuas (Catharacta maccormicki) at Svarthamaren, Dronning Maud Land (Antarctica) and compared to those in two species of northern hemisphere gulls: the Arctic glaucous gull (Larus hyperboreus) and the subarctic great black-backed gull (Larus marinus). The skuas had 8% and 29% of the SigmaOC levels (45 ng/g, wet weight) of glaucous gulls (591 ng/g) and great black-backed gulls (158 ng/g), respectively. Polychlorinated biphenyls (PCBs) and p,p'-dichlorodiphenyldichloroethylene (p,p'-DDE) were very low in skuas compared to northern gulls, but the mean hexachlorobenzene (HCB) level was 1.7 times higher than in great black-backed gulls and one-third of the glaucous gull level. Mirex levels in skuas were among the highest reported in birds, the mean level being 3 and 26 times higher than those in glaucous gull and great black-backed gulls, respectively. In skuas, the mean levels of HCB, oxychlordane, p,p'-DDE, and PCBs increased by about 30% during a 2-week period, and mirex increased by nearly 60%. In glacuous gulls, HCB, p,p'-DDE, and PCBs increased by 10-20%. For HCB, mirex, and oxychlordane, only a relatively small proportion of the increase in skuas could be explained by changes in lipid pools and the levels at first sampling, compared to glaucous gulls. Thus, skuas were probably accumulating these compounds when present in Antarctica. p,p'-DDE and PCB levels, in contrast, seemed much more stable in the skuas. Relatively high levels of mirex and HCB in south polar skuas are concerning with regard to potential adverse effects."
16691545,Potential of imidacloprid to control four species of psocids (Psocoptera: Liposcelididae) infesting stored grain.,"The effectiveness of the neonicotinoid insecticide imidacloprid was evaluated against four psocid pests of stored grain. This research was undertaken because of the growing importance of psocids in stored grain and the need to identify methods for their control. The mortality and reproduction of adults of Liposcelis bostrychophila Badonnel, L. entomophila (Enderlein), L. decolor (Pearman) and L. paeta Pearman in wheat treated with imidacloprid were determined. There were five application rates (0.5, 1, 2, 5 and 10 mg AI kg(-1) grain) and an untreated control. There were significant effects of application rate on both adult mortality and reproduction for all four species, but the effect of imidacloprid was sometimes more pronounced on reproduction. Imidacloprid was most effective against L. bostrychophila, with 100% adult mortality after 7 d at 5 mg AI kg(-1), 14 d at 2 mg AI kg(-1) and 28 d at 0.5 and 1 mg AI kg(-1). No live progeny were produced at 2 mg AI kg(-1). For L. decolor, there was 100% adult mortality after 28 d at 10 mg AI kg(-1) and no live progeny were produced at 2 mg AI kg(-1). For L. entomophila, there was 100% adult mortality after 14 d at 10 mg AI kg(-1) and 28 d at 2 and 5 mg AI kg(-1). No live progeny were produced at 10 mg AI kg(-1). At 10 mg AI kg(-1) there was 100% mortality of L. paeta adults after 28 d exposure and no live progeny developed. Because reproduction at some application rates occurred only in the first 14 d of exposure, it is concluded that the application rate leading to population extinction was 1 mg AI kg(-1) for L. bostrychophila, 2 mg AI kg(-1) for L. decolor and L. entomophila and 5 mg AI kg(-1) for L. paeta. This study shows that imidacloprid has potential as a grain protectant to control all four Liposcelis species in stored grain."
16713176,Effect of two insecticides and two herbicides on the porcine sperm motility patterns using computer-assisted semen analysis (CASA) in vitro.,"The recent decline in sperm concentration observed in men has developed over a short period of time, suggesting that it could be the result of environmental factors. The present study has evaluated the effects of insecticides Malathion and Diazinon, and herbicides Atrazine and Fenoxaprop-Ethyl on porcine sperm viability and motility patterns in vitro using the eosin-nigrosin staining and a computer-assisted semen analyzer (CASA), respectively. Malathion and Fenoxaprop-Ethyl exerted more deleterious effects than Diazinon and Atrazine. Progressive sperm motility was strongly affected whereas the effect on sperm viability was less pronounced. This suggests that a reduction of sperm motility is not necessarily the result of sperm death. Since sperm motility is dependent on energy metabolism the mechanism of action of these pesticides might be mediated at the level of the mitochondrion, producing a delay in motility and eventual cell death."
16721410,Utility of urinary 1-naphthol and 2-naphthol levels to assess environmental carbaryl and naphthalene exposure in an epidemiology study.,"We recently reported associations between urinary 1-naphthol (1N) levels and several intermediate measures of male reproductive health, namely sperm motility, serum testosterone levels, and sperm DNA damage. However, because 1N is a major urinary metabolite of both naphthalene and the insecticide carbaryl, exposure misclassification stemming from differences in exposure source was probable and interpretation of the results was limited. As naphthalene, but not carbaryl, is also metabolized to 2-naphthol (2N), the relationship of urinary 1N to 2N within an individual may give information about source of 1N. Utilizing data from two previous studies that measured both 1N and 2N in urine of men exposed to either carbaryl or naphthalene, the present study employed several methods to differentiate urinary 1N arising from exposures to carbaryl and naphthalene among men in the reproductive health study. When re-evaluating the reproductive health data, techniques for identifying 1N source involved exploring interaction terms, stratifying the data set based on 1N/2N ratios, and performing an exposure calibration using a linear 1N to 2N relationship from a study of workers exposed to naphthalene in jet fuel. Despite some inconsistencies between the methods used to distinguish 1N source, we found that 1N from carbaryl exposure is likely responsible for the previously observed association between 1N and sperm motility, whereas 1N from naphthalene exposure is likely accountable for the association between 1N and sperm DNA damage. We demonstrate that studies of health effects associated with carbaryl should utilize a 1N/2N ratio to identify subgroups in which carbaryl is the primary source of 1N. Conversely, studies of naphthalene-related outcomes may utilize 2N levels to estimate exposure."
16753957,Dissipation and leaching of (14)C-monocrotophos in Soil Columns under subtropical climate.,"Dissipation and leaching behavior of 14C-monocrotophos was studied for 365 days under field conditions using PVC cylinders. The first set (24 cylinders) was spiked with 1.0 microCi 14C-labeled monocrotophos along with 1.06 mg unlabeled monocrotophos to give a concentration of 2 mg kg -1 in the soil up to 15 cm depth. The second set (24 cylinders) received 14C-labeled monocrotophos along with other non-labeled insecticides viz., dimethoate @ 300 g a.i ha-1, deltamethrin @ 12.5 g a.i ha-1, endosulfan @ 750 g a.i ha-1, cypermethrin @ 60 g a.i ha-1, and triazophos @ 600 g a.i ha-1 at an interval of 15 days each as recommended for the cotton crop. 14C-monocrotophos dissipated faster, up to 45% in first 90 days in columns treated with only monocrotophos compared to 25% in columns that received monocrotophos along with other insecticides. However, both the columns showed similar residues 180 days onward. After 180 days of treatment, 46% radiolabeled residues were observed, which reduced up to 39.6% after 365 days. Leaching of 14C-monocrotophos to 15-30 cm soil layer was observed in both the experimental setups. In the 15-30 cm soil layer of both soil columns, up to 0.19 mg 14C-monocrotophos kg-1d. wt. soil was detected after 270 days."
16757081,"Diazinon, chlorpyrifos and parathion are metabolised by multiple cytochromes P450 in human liver.","This research describes both the activation and detoxification of diazinon, chlorpyrifos and parathion by recombinant P450 isozymes and by human liver microsomes that had been characterised for P450 marker activities. Wide variations in activity were found for diazinon (50 microM; 500 microM) activation to diazoxon, chlorpyrifos (100 microM) to chlorpyrifos oxon and parathion (5 microM, 20 microM and 200 microM) to paraoxon in NADPH-dependent reactions. In parallel, the dearylated metabolites pyrimidinol (IHMP), trichloro-2-pyridinol (TCP) and p-nitrophenol (PNP) were produced from diazinon, chlorpyrifos and parathion, respectively, with similarly wide variations in activity. There were significant correlations between diazoxon formation from diazinon (50 microM; 500 microM) with the three CYP3A4/5 marker reactions, while IHMP formation correlated significantly with the three CYP3A4/5 reactions, the CYP2C8 marker reaction (p<0.05) and the CYP2C19 marker (p<0.01). Chlorpyrifos oxon formation from chlorpyrifos did not correlate with any of the P450 markers but TCP formation correlated with one of the CYP3A4/5 reactions (p<0.01) and CYP2C8 (p<0.01), CYP2C19 (p<0.01) and CYP1A2 (p<0.01) mediated reactions. There were significant relationships between paraoxon formation from parathion (5 microM, 20 microM and 200 microM) and the CYP3A4/5, CYP2C8 and CYP1A2 mediated reactions, although only the latter two isoforms correlated significantly with the lowest parathion concentration. Recombinant CYPs 2D6, 2C19, 3A5, 3A4 were most efficient in producing diazoxon and IHMP from diazinon; CYPs 2D6, 3A5, 2B6 and 3A4 were best at producing chlorpyrifos-oxon and CYPs 2C19, 2D6, 3A5 and 3A4 at producing TCP from chlorpyrifos (100 microM). These data strongly suggest that CYPs 3A4/5, 2C8, 1A2, 2C19 and 2D6 are primarily involved in the metabolism of all three OPs, although the profile of participating isoforms was different for each of the pesticides suggesting that chemical structure influences which P450s mediate the reaction. The marked inter-individual variation in expression of the various P450 isozymes may result in sub-populations of individuals that produce higher systemic oxon levels with increased susceptibility to OP toxicity."
16765970,Development of pressurized subcritical water extraction combined with stir bar sorptive extraction for the analysis of organochlorine pesticides and chlorobenzenes in soils.,"An analytical method for the determination of several organochlorine pesticides (OCPs) like hexachlorocyclohexanes (HCHs), cyclodiene derivates (dieldrin, aldrin, endrin, heptachlor, heptachlor epoxide, endrin aldehyde, endosulfan and ensodulfan sulphate) and DDX compounds (p,p'-DDE, p,p'-DDD and p,p'-DDT) as well as chlorobenzenes in soils has been developed. The procedure is based on pressurized subcritical water extraction (PSWE) followed by stir bar sorptive extraction (SBSE) and subsequent thermodesorption-gas chromatography/mass spectrometry analysis. Significant PSWE and SBSE parameters were optimized using spiked soil and water samples. For the PSWE of the organochlorine compounds, water modified with acetonitrile as the extraction solvent, at an extraction temperature of 120 degrees C, and three cycles of 10 min extraction proved to be optimal. Under optimized conditions, the figures of merit, such as precision, accuracy and detection limits were evaluated. The detection limits obtained for soil samples were in the range 0.002-4.7 ng/g. Recoveries between 4.1 and 85.2% were achieved from samples spiked at a concentration level of 25-155 ng/g. The main advantages of this method are the avoidance of clean-up and concentration procedures as well as the significant reduction of the required volume of organic solvents. The described method was applied to the determination of the pollutants in soil samples collected from a polluted area, the Bitterfeld region (Germany). The results obtained by PSWE-SBSE were in a good agreement with those obtained by a reference method, a conventional pressurized liquid extraction (PLE)."
16813292,Digging behavior of Solenopsis invicta workers when exposed to contact insecticides.,"ABSTRACT Contact between ants and insecticides is a prerequisite for contact insecticides to be effective in the control of red imported fire ants, Solenopsis invicta Buren. Typically, passive contact occurs in the insecticide application process, but ants also may actively contact insecticides by digging in treated soil or walking on a treated soil surface. Laboratory experiments were conducted to determine whether fire ant workers would dig sand treated with contact insecticides in two different scenarios: (1) no-choice bioassays where insecticide-treated sand was the only available digging substrate, and (2) two-choice bioassays where nontoxicant sand was also available for digging. Eight insecticides that are currently registered in the United States for imported fire ant control were tested. They include acephate, bifenthrin, carbaryl, cyfluthrin, deltamethrin, gamma-cyhalothrin, permethrin, and pyrethrin. Workers dug the treated sand for every insecticide tested, even at concentrations up to 10 times of the lowest lethal concentration (LLC) which caused 100% mortality in a toxicity bioassay. However, generally, insecticides significantly reduced the digging effort, even at a concentration that did not cause any significant mortality in the toxicity bioassay."
16813311,An endemic population of western poplar clearwing moths (Lepidoptera: Sesiidae) invades a monoculture of hybrid poplar.,"Western poplar clearwing, Paranthrene robiniae (Hy. Edwards) (Lepidoptera: Sesiidae), is endemic in Pacific Northwest riparian habitats at low population densities. These moths have colonized commercial hybrid poplar (Populus spp.) plantings. Moth populations increased rapidly and became a major pest. Trap catches of male moths in mid-season surveys increased 190-fold from 95 in 2001 to >18,500 in 2002 across 6597 ha of poplars monitored. The outbreak of western poplar clearwings was widespread in 2002. Pheromone-baited traps placed one trap per 81.75 ha over 13,274 ha of commercial poplars captured >108,000 male moths in 2002. Damage to commercial poplars included girdling of saplings and burrows in limbs and trunks of trees. Repeated applications of chlorpyrifos failed to reduce the abundance of moths in 2002. Two management strategies over two separate plantations of approximately 6500 ha each were contrasted. Future control strategies recommend a halt to the use of contact insecticides that target adult moths. Short-term (3-5 yr) control should involve a pheromone-based mating disruption strategy followed eventually by selection of a clone that is less susceptible to P. robiniae attack."
16830469,[Determination of organophosphorus pesticide residues in tobacco by high performance liquid chromatography-tandem mass spectrometry].,"A novel and rapid method based on high performance liquid chromatography-tandem mass spectrometry (LC-MS/MS) was developed for determination of organophosphorus pesticide residues (OPs) in tobacco. The OPs were extracted from tobacco samples by acetonitrile under ultrasonication. The extractive was determined by high performance liquid chromatography using methanol-water (containing 0.1% ammonium acetate) (95:5, v/v) as mobile phase. The OPs were detected using a tandem mass spectrometer with electrospray ionization in multiple reaction monitoring (MRM) mode. The OPs, such as dimethoate, trichlorfon, chlorpyrifos, methamidophos and acephate could be detected quantitatively within 2.5 min. The linear calibration curves were obtained in the entire range (1-200 microg/L) for all the above pesticides (r > 0.998). The average recoveries in tobacco obtained were ranged from 77% to 104%. The limits of detection were between 1.0 microg/kg and 5.0 microg/kg."
16859104,"Visual targets for capture and management of house flies, Musca domestica L.","House flies and stable flies were collected on a Florida dairy farm using a commercial Alsynite sticky cylinder trap that was either used alone or covered with white, blue, or black outdoor awning fabric. Collections of both species of flies were highest on exposed Alsynite (house flies, 506.2 flies/day; stable flies, 19.1) followed by blue fabric (house flies, 308.1 flies/day; stable flies 12.5). Responses of both species to white and black fabric were 70% lower than to either of the former materials. When blue fabric was used to cover 50% of the surface area of Alsynite cylinders, house fly responses were significantly higher (290.2 flies/day) than to blue fabric alone (165.2); stable fly responses to the bi-colored target were significantly higher (152.6) than to Alsynite alone (93.8). Comparison of fly counts in the blue-covered versus uncovered Alsynite with traps of a single material indicated that house fly attraction to blue fabric was enhanced by the presence of clear Alsynite, whereas stable fly attraction to Alsynite was enhanced by the presence of blue fabric. The presence of blue+Alsynite visual targets increased collections of house flies in pans of dry fly bait but not in baited jug traps. Visual targets treated with 1.2% bifenthrin controlled >50% and 90% of house flies in large cages by days two and four after placement, respectively."
16862293,Effect of pesticides on nitrification in aquatic sediment.,"The aim of this work was to study the effect of the herbicides glyphosate, nonanoic acid, and dichlorprop-P and the insecticides potassium oil, malation and Pyretrin and their combinations on nitrification. Nitrification was measured in slurries from the eutrophic and shallow Brabrand Lake (Aarhus, Denmark), by inhibiting oxidation of nitrite to nitrate with chloride. All herbicides and insecticides influenced nitrification. The No Observed Effect Concentration (NOEC) was assessed to be 30 microg.L-1 for glyphosate and nonanoic acid and 1 microg.L-1 for dichlorprop-P. The NOEC for malation and Pyretrin on nitrification was assessed to be 3 microg.L-1. No accumulation effect on nitrification of the insecticides malation and Pyretrin, or of the studied herbicides, was observed, indicating that their environmental impact is low at reduced concentrations, even in combination. The procedure used in this study can provide a useful tool for obtaining concentration limits for pesticides or other chemicals in a short period of time."
16865906,Decay of dinitroaniline herbicides and organophosphorus insecticides during brewing of lager beer.,"This article examines the fate of four pesticides that can be present during the brewing of lager beer. For this purpose, malted barley was spiked at 2 mg/kg with pendimethalin and trifluralin (dinitroaniline herbicides) and fenitrothion and malathion (organophosphorus insecticides). Analyses of pesticide residues were carried out by a gas chromatograph with an electron capture detector, and their identity was confirmed by gas chromatography-mass spectrometry. Cleanup was necessary for the malt and spent grain samples. Beginning with mashing and ending with the final product 4 months later, various samples (spent grain, sweet wort, brewer wort, and beer) were taken to determine the concentration of the targeted residual pesticides during the various beer making phases. In all cases, the residual levels recorded in sweet wort sampled after the mashing phase were below the respective maximum residue limits established by Spanish legislation for barley. Significant proportions of pesticide residues (17 to 40%) were retained on the spent grain. Applying the standard first-order kinetics equation (r > 0.91), the half-lives obtained for the four compounds during the storage of the spent grain (3.5 months) varied from 138 days (fenitrothion) to 192 days (malathion and pendimethalin). Herbicide residues practically disappeared (<0.3%) after wort boiling, whereas the percentages of the remaining insecticides, fenitrothion and malathion, ranged from 3.5 to 4.3%, respectively, at this time. No residues of dinitroaniline compounds were detected in young beer, whereas there was a significant reduction in fenitrothion (58%) and malathion (71%) residues during fermentation. Lagering and filtering processes also reduced the content of the organophosphorus insecticides (33 to 37%). Finally, after the storage period (3 months), the content of fenitrothion was reduced by 75%, with malathion residues being below its detection limit."
16880753,"Insecticide resistance development in Culex quinquefasciatus (Say), Aedes aegypti (L.) and Aedes albopictus (Skuse) larvae against malathion, permethrin and temephos.","Laboratory-bred females of Culex quinquefasciatus, Aedes aegypti and Aedes albopictus from the insectarium, Unit of Medical Entomology, Institute for Medical Research were used in the experiment. The late third stage of the F0 larvae which survived the high selection pressure of malathion, permethrin and temephos were reared and colonies were established from adults that emerged. Cx. quinquefasciatus larvae were subjected to selection by malathion and permethrin for 40 generations, Ae. aegypti larvae to malathion, permethrin and temephos for 32 generations and Ae. albopictus larvae were selected against malathion and permethrin for 32 generations and 20 generations against temephos. The rate of resistance development was measured by LC50 value. Cx. quinquefasciatus larvae developed higher resistance to malathion and permethrin compared to Ae. aegypti and Ae. albopictus. On the whole, permethrin resistance developed at a faster rate than malathion and temephos."
16883275,Resistance development and insecticide susceptibility in Culex quinquefasciatus against selection pressure of malathion and permethrin and its relationship to cross-resistance towards propoxur.,"To determine resistance level and characterize malathion and permethrin resistance in Culex quinquefasciatus, two methods were used namely: WHO procedures of larval bioassay to determine the susceptibility of lethal concentration (LC) and adult bioassay to determine the lethal time (LT) which are resistant to malathion and permethrin. These mosquito strains were bred in the Insectarium, Division of Medical Entomology, IMR. Thousands of late fourth instar larvae which survived the selection pressure to yield 50% mortality of malathion and permethrin were reared and colonies were established from adults that emerged. Larvae from these colonies were then subjected to the subsequent 10 generations in the test undertaken for malathion resistant strain (F61 - F70) and permethrin resistant strain (F54 - F63). Selection pressure at 50% - 70% mortality level was applied to the larvae of each successive generation. The rate of resistance development and resistance ratio (RR) were calculated by LC5 0 for larval bioassay and LT50 value for adult bioassay. The lab bred Cx. quinquefasciatus was used as a susceptible strain for comparison purpose. The adult bioassay test was carried out by using diagnostic dosages of malathion 5.0%, permethrin 0.75% and with propoxur 0.1%. All bioassay results were subjected to probit analysis. The results showed that LC5 0 for both malathion (F61 - F70) and permethrin (F54 - F63) resistant Cx. quinquefasciatus increased steadily to the subsequent 10 generations indicating a marked development of resistance. The adult female malathion resistant strain have developed high resistance level to malathion diagnostic dosage with resistance ratio 9.3 to 9.6 folds of resistance. Permethrin resistance ratio remained as 1.0 folds of resistance at every generation. It was obvious that malathion resistance developing at a higher rate in adult females compared to permethrin. Female adults exposed to 2 hours of exposure period for propoxur 0.1% showed presence of cross-resistance among the both strains of mosquitoes towards propoxur and it was indicated by 70%-100% mortality at 24 hours post-recovery period."
16906504,Comparing the impact of conventional pesticide and use of a transgenic pest-resistant crop on the beneficial carabid beetle Pterostichus melanarius.,"The potential impact of a chemical pesticide control method has been compared with that of transgenic plants expressing a protease inhibitor conferring insect resistance by utilising a tritrophic system comprising the crop plant Brassica napus (L.) (Oilseed rape), the pest mollusc Deroceras reticulatum (Müller) and the predatory carabid beetle Pterostichus melanarius (Illiger). Cypermethrin, as the most widely used pesticide in UK oilseed rape (OSR) cultivation, was selected as the conventional treatment. OSR expressing a cysteine protease inhibitor, oryzacystatin-1 (OC-1), was the transgenic comparator. In feeding trials, D. reticulatum showed no significant long-term effects on measured life history parameters (survival, weight gain, food consumption) as a result of exposure to either the cypermethrin or OC-1 treatment. However, D. reticulatum was able to respond to the presence of the dietary inhibitor by producing two novel proteases following exposure to OC-1-expressing OSR. Similarly, P. melanarius showed no detectable alterations in mortality, weight gain or food consumption when feeding on D. reticulatum previously fed either pesticide-contaminated or GM plant material. Furthermore, as with the slug, a novel form of protease, approximately M(r) 27 kDa, was induced in the carabid in response to feeding on slugs fed OC-1-expressing OSR."
16912982,Determination of chlorpyrifos and its metabolites in rat brain tissue using coupled-column liquid chromatography/electrospray ionization tandem mass spectrometry.,"A method has been developed to quantify chlorpyrifos (O,O-diethyl-O-[3,5,6,-trichloro-2-pyridyl] phosphorothionate) and its metabolites chlorpyrifos-oxon (O,O-diethyl-O-[3,5,6,trichloro-2-pyridinyl] phosphate) and TCP (3,5,6,-trichloro-2-pyridinol) in rat brain tissue by coupled-column liquid chromatography/electrospray ionization tandem mass spectrometry (LC/LC/ESI-MS/MS). Rat brains were homogenized and treated by protein precipitation using ice-cold acetonitrile. The supernatant was directly injected onto the coupled-column system. Sample clean-up was achieved on a Zorbax Extend-C(18) column (2.1 x 50 mm, 5 microm) using a mobile phase of acetonitrile/water with 0.0025% formic acid (40:60, v/v). The compounds were separated isocratically on a Zorbax Eclipse XDB C(8) column (2.0 x 150 mm, 5 microm) using a mobile phase of acetonitrile/water with 0.0025% formic acid (75:25, v/v). Chlorpyrifos and chlorpyrifos-oxon were detected in positive ion mode using multiple reaction monitoring (MRM). TCP was detected in negative ion mode using precursor-to-precursor transition monitoring. The method was validated and the specificity, linearity, limit of quantitation (LOQ), precision, accuracy, stability, and recoveries were determined. Calibration curves for all three analytes yielded correlation coefficients of 0.993 or greater. The LOQs were 25.3 ng/g for chlorpyrifos and 6.3 ng/g for chlorpyrifos-oxon and TCP. All precision relative standard deviations (RSDs) were less than 16% for the LOQ and less than 11% for the other QC samples. This method was successfully applied to six rats that were injected subcutaneously with chlorpyrifos."
16961938,Efficacy of bifenthrin-impregnated bednets against Anopheles funestus and pyrethroid-resistant Anopheles gambiae in North Cameroon.,"BACKGROUND: Recent field studies indicated that insecticide-treated bednets (ITNs) maintain their efficacy despite a high frequency of the knock-down resistance (kdr) gene in Anopheles gambiae populations. It was essential to evaluate ITNs efficacy in areas with metabolic-based resistance. METHODS: Bifenthrin was used in this experiment because it is considered a promising candidate for bednets impregnation. Nets were treated at 50 mg/m2, a dose that has high insecticidal activity on kdr mosquitoes and at 5 mg/m2, a dose that kills 95% of susceptible mosquitoes under laboratory conditions with 3 minutes exposure. Bednets were holed to mimic physical damage. The trial was conducted in three experimental huts from Pitoa, North-Cameroon where Anopheles gambiae displays metabolic resistance and cohabits with An. funestus. RESULTS: Bifenthrin at 50 mg/m2 significantly reduced anophelines' entry rate (>80%). This was not observed at 5 mg/m2. Both treatments increased exophily in An. gambiae, and to a lesser extent in An. funestus. With bifenthrin at high dosage, over 60% reduction in blood feeding and 75-90% mortality rates were observed in both vectors. Despite presence of holes, only a single An. gambiae and two An. funestus females were collected inside the treated net, and all were found dead. The same trends were observed with low dosage bifenthrin though in most cases, no significant difference was found with the untreated control net. CONCLUSION: Bifenthrin-impregnated bednets at 50 mg/m2 were efficient in the reduction of human-vector contact in Pitoa. Considerable personal protection was gained against An. funestus and metabolic pyrethroid resistant An. gambiae populations."
16981889,A nicotinic acetylcholine receptor mutation (Y151S) causes reduced agonist potency to a range of neonicotinoid insecticides.,"Neonicotinoid insecticides are potent selective agonists of insect nicotinic acetylcholine receptors (nAChRs). Since their introduction in 1991, resistance to neonicotinoids has been slow to develop, but it is now established in some insect field populations such as the planthopper, Nilaparvata lugens, a major rice pest in many parts of Asia. We have reported recently the identification of a target-site mutation (Y151S) within two nAChR subunits (Nlalpha1 and Nlalpha3) from a laboratory-selected field population of N. lugens. In the present study, we have examined the influence of this mutation upon the functional properties of recombinant nAChRs expressed in Xenopus oocytes (as hybrid nAChRs, co-expressed with a rat beta2 subunit). The agonist potency of several nicotinic agonists has been examined, including all of the neonicotinoid insecticides that are currently licensed for either crop protection or animal health applications (acetamiprid, clothianidin, dinotefuran, imidacloprid, nitenpyram, thiacloprid and thiamethoxam). The Y151S mutation was found to have no significant effect on the maximal current (I(max)) observed with the endogenous agonist, acetylcholine. In contrast, a significant reduction in I(max) was observed for all neonicotinoids (the I(max) for mutant nAChRs ranged from 13 to 81% of that observed on wild-type receptors). In addition, nAChRs containing the Y151S mutation caused a significant rightward shift in agonist dose-response curves for all neonicotinoids, but of varying magnitude (shifts in EC(50) values ranged from 1.3 to 3.6-fold). The relationship between neonicotinoid structure and their potency on nAChRs containing the Y151S target-site mutation is discussed."
16982521,Rate of degradation of lambda-cyhalothrin and methomyl in grapes (Vitis vinifera L.).,"Rates of degradation of lambda-cyhalothrin and methomyl residues in grape are reported. The dissipation behavior of both insecticides followed first-order rate kinetics with similar patterns at standard and double-dose applications. Residues of lambda-cyhalothrin were lost with pre-harvest intervals (PHI) of 12.0-12.5 and 15.0-15.5 days, corresponding to the applications at 25 and 50 g a.i. ha-1, respectively. In the case of methomyl, residues were lost with PHI of 55.0 and 61.0 days, following applications at 1 and 2 kg a.i. ha-1, respectively. The PHI, recommended on the basis of the experimental results, was shown to be effective in minimizing residue load of these insecticides below their maximum residue limits (MRLs) in vineyard samples."
16986804,Effects of pesticides on soil invertebrates in laboratory studies: a review and analysis using species sensitivity distributions.,"Species sensitivity distributions (SSD) and 5% hazardous concentrations (HC5) are distribution-based approaches for assessing environmental risks of pollutants. These methods have potential for application in pesticide risk assessments, but their applicability for assessing pesticide risks to soil invertebrate communities has not been evaluated. Using data obtained in a systematic review, the present study investigates the relevance of SSD and HC5 for predicting pesticide risks to soil invertebrates. Altogether, 1950 laboratory toxicity data were obtained, representing 250 pesticides and 67 invertebrate taxa. The majority (96%) of pesticides have toxicity data for fewer than five species. Based on a minimum of five species, the best available endpoint data (acute mortality median lethal concentration) enabled SSD and HC5 to be calculated for 11 pesticides (atrazine, carbendazim, chlorpyrifos, copper compounds, diazinon, dimethoate, gamma-hexachlorocyclohexane, lambda-cyhalothrin, parathion, pentachlorophenol, and propoxur). Arthropods and oligochaetes exhibit pronounced differences in their sensitivity to most of these pesticides. The standard test earthworm species, Eisenia fetida sensu lato, is the species that is least sensitive to insecticides based on acute mortality, whereas the standard Collembola test species, Folsomia candida, is among the most sensitive species for a broad range of toxic modes of action (biocide, fungicide, herbicide, and insecticide). These findings suggest that soil arthropods should be tested routinely in regulatory risk assessments. In addition, the data indicate that the uncertainty factor for earthworm acute mortality tests (i.e., 10) does not fully cover the range of earthworm species sensitivities and that acute mortality tests would not provide the most sensitive risk estimate for earthworms in the majority (95%) of cases."
16996190,Modulation of aromatase activity and mRNA by various selected pesticides in the human choriocarcinoma JEG-3 cell line.,"Aromatase enzyme plays a central role in steroidogenesis by converting androgens to estrogens and has been proposed as an important molecular target for many environmental endocrine disrupters chemicals. In this study, we have screened 30 selected pesticides with known, unknown or supposed effects on aromatase activity, for their ability to modulate aromatase activity in the human choriocarcinoma JEG-3 cell line after both short (2 h) and long exposure (24 h). All pesticides were tested at concentrations up to 10 microM that did not cause cytotoxicity after 24h of exposure, as verified by the MTT viability assay. Four pesticides inhibited aromatase activity after 2 h of exposure: prochloraz (IC(50)<1 microM), fenbuconazole (IC(50)=1.1 microM), propiconazole (IC(50)=1.5 microM) and fenarimol (IC(50)=3.3 microM). Among them, prochloraz and fenbuconazole also exerted inhibitory effects after 24h. Toxaphen (10 microM) and heptachlor (10 microM) inhibited aromatase activity after 24h exposure only. Nine pesticides induced aromatase activity: aldrin, chlordane, cypermethrin, parathion-methyl, endosulfan, methoxychlor, oxadiazon, metolachlor and atrazine after 24 h of exposure, while tributyltin induced aromatase activity at 1 nM and 3 nM after both 2 h and 24 h of exposure, respectively. To further investigate the mechanisms of aromatase induction we measured CYP19 mRNA expression and showed that methoxychlor, aldrin, chlordane and tributyltin induced the transcription of the cyp19 gene. In addition, none of the aromatase inducers transactivated the retinoic acid receptor (RAR) in JEG-3 stably transfected with a RARE-luciferase plasmid while the RAR agonist TTNPB induced both aromatase and luciferase expression in these cells. Our results, which provide new data for fenbuconazole, as an inhibitor of human aromatase, and for eight pesticides as aromatase inducers, are discussed with regards to the regulation of aromatase expression in the JEG-3 cellular context."
