relation_pair_key,pred_label,entity1_canonical_text,entity1_type,entity2_canonical_text,entity2_type,relation_group,relation_count,max_pred_score,mean_pred_score,pmids,unique_pmid_count,same_sentence_count,has_validated_pesticide,has_unvalidated_chemical,example_title
amitraz||ChemicalEntity --> acetylcholinesterase||GeneOrGeneProduct,Negative_Correlation,amitraz,ChemicalEntity,acetylcholinesterase,GeneOrGeneProduct,Negative effect,1,5.765288,5.765,2925011,1,0,True,False,Investigations of amitraz neurotoxicity in rats. III. Effects on motor activity and inhibition of monoamine oxidase.
amitraz||ChemicalEntity --> alpha2-adrenergic receptors||GeneOrGeneProduct,Positive_Correlation,amitraz,ChemicalEntity,alpha2-adrenergic receptors,GeneOrGeneProduct,Positive effect,1,8.182171,8.182,17137059,1,1,True,False,Canine renal cortical necrosis and haemorrhage following ingestion of an Amitraz-formulated insecticide dip.
amitraz||ChemicalEntity --> anaplasmosis||DiseaseOrPhenotypicFeature,Negative_Correlation,amitraz,ChemicalEntity,anaplasmosis,DiseaseOrPhenotypicFeature,Negative effect,1,8.717747,8.718,26158272,1,1,True,False,SNP Analysis Infers that Recombination Is Involved in the Evolution of Amitraz Resistance in Rhipicephalus microplus.
amitraz||ChemicalEntity --> bifenthrin||ChemicalEntity,Positive_Correlation,amitraz,ChemicalEntity,bifenthrin,ChemicalEntity,Positive effect,1,6.460376,6.46,17598296,1,1,True,False,Field evaluation of different insecticide use strategies as resistance management and control tactics for Bemisia tabaci (Hemiptera: Aleyrodidae).
amitraz||ChemicalEntity --> bradypnea||DiseaseOrPhenotypicFeature,Positive_Correlation,amitraz,ChemicalEntity,bradypnea,DiseaseOrPhenotypicFeature,Positive effect,1,7.0196652,7.02,12776786,1,1,True,False,The comparative efficacy of yohimbine and atipamezole to treat amitraz intoxication in dogs.
amitraz||ChemicalEntity --> canine||OrganismTaxon,Negative_Correlation,amitraz,ChemicalEntity,canine,OrganismTaxon,Negative effect,1,8.496478,8.496,1663333,1,1,True,False,Interaction between amitraz and alpha 2-adrenoceptors inhibits epinephrine-induced canine platelet aggregation.
amitraz||ChemicalEntity --> canine||OrganismTaxon,Positive_Correlation,amitraz,ChemicalEntity,canine,OrganismTaxon,Positive effect,1,9.406905,9.407,1663333,1,0,True,False,Interaction between amitraz and alpha 2-adrenoceptors inhibits epinephrine-induced canine platelet aggregation.
amitraz||ChemicalEntity --> cattle||OrganismTaxon,Negative_Correlation,amitraz,ChemicalEntity,cattle,OrganismTaxon,Negative effect,3,8.469374,7.277,23948559,1,3,True,False,"In vitro and in vivo evaluation of cypermethrin, amitraz, and piperonyl butoxide mixtures for the control of resistant Rhipicephalus (Boophilus) microplus (Acari: Ixodidae) in the Mexican tropics."
amitraz||ChemicalEntity --> chicken||OrganismTaxon,Negative_Correlation,amitraz,ChemicalEntity,chicken,OrganismTaxon,Negative effect,1,8.493346,8.493,1786744,1,1,True,False,"Susceptibilities of northern fowl mite, Ornithonyssus sylviarum (Acarina: Macronyssidae), and chicken mite, Dermanyssus gallinae (Acarina: Dermanyssidae), to selected acaricides."
amitraz||ChemicalEntity --> coma||DiseaseOrPhenotypicFeature,Positive_Correlation,amitraz,ChemicalEntity,coma,DiseaseOrPhenotypicFeature,Positive effect,2,8.626688,7.921,8164758,1,1,True,False,"[Poisoning with amitraz, an agricultural anti-ectoparasitic agent]."
amitraz||ChemicalEntity --> cypermethrin||ChemicalEntity,Cotreatment,amitraz,ChemicalEntity,cypermethrin,ChemicalEntity,Treatment / co-exposure,1,4.6861515,4.686,25987840,1,1,True,False,"Reduced Efficacy of Commercial Acaricides Against Populations of Resistant Cattle Tick Rhipicephalus microplus from Two Municipalities of Antioquia, Colombia."
amitraz||ChemicalEntity --> depression||DiseaseOrPhenotypicFeature,Positive_Correlation,amitraz,ChemicalEntity,depression,DiseaseOrPhenotypicFeature,Positive effect,1,9.235074,9.235,2519678,1,1,True,False,Effect of tick control on liveweight gain of cattle in central Zambia.
amitraz||ChemicalEntity --> fipronil||ChemicalEntity,Negative_Correlation,amitraz,ChemicalEntity,fipronil,ChemicalEntity,Negative effect,1,6.5471783,6.547,22520338,1,1,True,False,"Efficacy of slow-release collar formulations of imidacloprid/flumethrin and deltamethrin and of spot-on formulations of fipronil/(s)-- methoprene, dinotefuran/pyriproxyfen/permethrin and (s) -methoprene/amitraz/fipronil against Rhipicephalus sanguineus and Ctenocephalides felis felis on dogs."
amitraz||ChemicalEntity --> fipronil||ChemicalEntity,Positive_Correlation,amitraz,ChemicalEntity,fipronil,ChemicalEntity,Positive effect,1,6.2507653,6.251,25054487,1,1,True,False,Rhipicephalus (Boophilus) microplus resistant to acaricides and ivermectin in cattle farms of Mexico.
amitraz||ChemicalEntity --> glycosuria||DiseaseOrPhenotypicFeature,Positive_Correlation,amitraz,ChemicalEntity,glycosuria,DiseaseOrPhenotypicFeature,Positive effect,1,8.329309,8.329,33633885,1,1,True,False,"2,4-Dichlorophenoxyacetic Acid Poisoning Mimicking as Organophosphorus Poisoning."
amitraz||ChemicalEntity --> haemorrhage||DiseaseOrPhenotypicFeature,Positive_Correlation,amitraz,ChemicalEntity,haemorrhage,DiseaseOrPhenotypicFeature,Positive effect,3,7.9552107,7.122,17137059,1,1,True,False,Canine renal cortical necrosis and haemorrhage following ingestion of an Amitraz-formulated insecticide dip.
amitraz||ChemicalEntity --> honeybees||OrganismTaxon,Negative_Correlation,amitraz,ChemicalEntity,honeybees,OrganismTaxon,Negative effect,2,4.422205,4.38,33607494,1,2,True,False,Depletion kinetics and concentration- and time-dependent toxicity of a tertiary mixture of amitraz and its major hydrolysis products in honeybees.
amitraz||ChemicalEntity --> honeybee||OrganismTaxon,Positive_Correlation,amitraz,ChemicalEntity,honeybee,OrganismTaxon,Positive effect,1,5.479302,5.479,35504369,1,1,True,False,First national survey of residues of active substances in honeybee apiaries across Spain between 2012 and 2016.
amitraz||ChemicalEntity --> mentally handicapped||DiseaseOrPhenotypicFeature,Negative_Correlation,amitraz,ChemicalEntity,mentally handicapped,DiseaseOrPhenotypicFeature,Negative effect,1,5.8078465,5.808,8164758,1,1,True,False,"[Poisoning with amitraz, an agricultural anti-ectoparasitic agent]."
amitraz||ChemicalEntity --> methane||ChemicalEntity,Negative_Correlation,amitraz,ChemicalEntity,methane,ChemicalEntity,Negative effect,1,6.397459,6.397,8164758,1,1,True,False,"[Poisoning with amitraz, an agricultural anti-ectoparasitic agent]."
amitraz||ChemicalEntity --> renal cortical necrosis||DiseaseOrPhenotypicFeature,Positive_Correlation,amitraz,ChemicalEntity,renal cortical necrosis,DiseaseOrPhenotypicFeature,Positive effect,3,8.165125,7.461,17137059,1,1,True,False,Canine renal cortical necrosis and haemorrhage following ingestion of an Amitraz-formulated insecticide dip.
amitraz||ChemicalEntity --> tachycardia||DiseaseOrPhenotypicFeature,Positive_Correlation,amitraz,ChemicalEntity,tachycardia,DiseaseOrPhenotypicFeature,Positive effect,1,6.703545,6.704,12776786,1,1,True,False,The comparative efficacy of yohimbine and atipamezole to treat amitraz intoxication in dogs.
amitraz||ChemicalEntity --> tick||OrganismTaxon,Negative_Correlation,amitraz,ChemicalEntity,tick,OrganismTaxon,Negative effect,7,9.061205,7.038,21777735 | 23948559 | 26158272,3,7,True,False,"Efficacy of a novel combination of fipronil, amitraz and (S)-methoprene for treatment and control of tick species infesting dogs in Europe."
ammonium sulfamate||ChemicalEntity --> phosphate||ChemicalEntity,Positive_Correlation,ammonium sulfamate,ChemicalEntity,phosphate,ChemicalEntity,Positive effect,1,6.0402946,6.04,34088080,1,1,True,False,Biodegradation competence of Streptomyces toxytricini D2 isolated from leaves surface of the hybrid cotton crop against β cypermethrin.
anemia||DiseaseOrPhenotypicFeature -- carbaril||ChemicalEntity,Association,carbaril,ChemicalEntity,anemia,DiseaseOrPhenotypicFeature,General association,1,7.288002,7.288,27214522,1,1,True,False,"Aged garlic extract ameliorates immunotoxicity, hematotoxicity and impaired burn-healing in malathion- and carbaryl-treated male albino rats."
anemia||DiseaseOrPhenotypicFeature -- permethrin||ChemicalEntity,Association,permethrin,ChemicalEntity,anemia,DiseaseOrPhenotypicFeature,General association,1,6.69153,6.692,12749488,1,1,True,False,"Impact of permethrin-treated bed nets on malaria, anemia, and growth in infants in an area of intense perennial malaria transmission in western Kenya."
anorexia||DiseaseOrPhenotypicFeature -- carbaril||ChemicalEntity,Association,carbaril,ChemicalEntity,anorexia,DiseaseOrPhenotypicFeature,General association,1,7.9239664,7.924,3083676,1,0,True,False,Subacute neurotoxicity following long-term exposure to carbaryl.
anti-inflammatory cytokine||GeneOrGeneProduct -- chlorpyrifos||ChemicalEntity,Association,chlorpyrifos,ChemicalEntity,anti-inflammatory cytokine,GeneOrGeneProduct,General association,1,8.432235,8.432,25175644,1,1,True,False,Pro- and anti-inflammatory cytokine expression in immune organs of the common carp exposed to atrazine and chlorpyrifos.
antibiotic||DiseaseOrPhenotypicFeature -- clothianidin||ChemicalEntity,Association,clothianidin,ChemicalEntity,antibiotic,DiseaseOrPhenotypicFeature,General association,1,4.2761283,4.276,29710604,1,1,True,False,"Inputs, source apportionment, and transboundary transport of pesticides and other polar organic contaminants along the lower Red River, Manitoba, Canada."
apples||OrganismTaxon -- chlorpyrifos-methyl||ChemicalEntity,Association,chlorpyrifos-methyl,ChemicalEntity,apples,OrganismTaxon,General association,1,9.293295,9.293,17487602,1,0,True,False,Safe apples for baby-food production: survey of pesticide treatment regimes leaving minimum residues.
apples||OrganismTaxon -- chlorpyrifos||ChemicalEntity,Association,chlorpyrifos,ChemicalEntity,apples,OrganismTaxon,General association,2,9.428471,8.153,17487602 | 33338834,2,2,True,False,Safe apples for baby-food production: survey of pesticide treatment regimes leaving minimum residues.
apples||OrganismTaxon -- ethyltrianol||ChemicalEntity,Association,ethyltrianol,ChemicalEntity,apples,OrganismTaxon,General association,1,7.5847116,7.585,22738391,1,1,True,False,Effect of home processing on the distribution and reduction of pesticide residues in apples.
apples||OrganismTaxon -- penconazole||ChemicalEntity,Association,penconazole,ChemicalEntity,apples,OrganismTaxon,General association,1,9.344897,9.345,17487602,1,0,True,False,Safe apples for baby-food production: survey of pesticide treatment regimes leaving minimum residues.
apple||OrganismTaxon -- azinphos-methyl||ChemicalEntity,Association,azinphos-methyl,ChemicalEntity,apple,OrganismTaxon,General association,1,7.7210217,7.721,276313,1,1,True,False,Personnel safety and foliage residue in an orchard spray program using azinphosmethyl and captan.
apple||OrganismTaxon -- boscalid||ChemicalEntity,Association,boscalid,ChemicalEntity,apple,OrganismTaxon,General association,1,5.3074927,5.307,27936707,1,1,True,False,"Study on Mobility, Distribution and Rapid Ion Mobility Spectrometry Detection of Seven Pesticide Residues in Cucumber, Apple, and Cherry Tomato."
apple||OrganismTaxon -- carbendazim||ChemicalEntity,Association,carbendazim,ChemicalEntity,apple,OrganismTaxon,General association,2,9.715429,9.093,22738391 | 34922318,2,2,True,False,Effect of home processing on the distribution and reduction of pesticide residues in apples.
apple||OrganismTaxon -- chlorpyrifos||ChemicalEntity,Association,chlorpyrifos,ChemicalEntity,apple,OrganismTaxon,General association,3,9.109811,7.23,22738391,1,3,True,False,Effect of home processing on the distribution and reduction of pesticide residues in apples.
apple||OrganismTaxon -- clothianidin||ChemicalEntity,Association,clothianidin,ChemicalEntity,apple,OrganismTaxon,General association,1,6.384815,6.385,30445137,1,1,True,False,"Dissipation behavior and dietary risk assessment of lambda-cyhalothrin, thiamethoxam and its metabolite clothianidin in apple after open field application."
apple||OrganismTaxon -- cypermethrin||ChemicalEntity,Association,cypermethrin,ChemicalEntity,apple,OrganismTaxon,General association,1,6.0247903,6.025,33176957,1,1,True,False,"Characterization, mechanism of cypermethrin biosorption by Saccharomyces cerevisiae strains YS81 and HP and removal of cypermethrin from apple and cucumber juices by inactive cells."
apple||OrganismTaxon -- deiquat||ChemicalEntity,Association,deiquat,ChemicalEntity,apple,OrganismTaxon,General association,1,8.503209,8.503,34922318,1,1,True,False,Wearable sensors made with solution-blow spinning poly(lactic acid) for non-enzymatic pesticide detection in agriculture and food safety.
apple||OrganismTaxon -- fenoxycarb||ChemicalEntity,Association,fenoxycarb,ChemicalEntity,apple,OrganismTaxon,General association,1,7.6509194,7.651,17487602,1,1,True,False,Safe apples for baby-food production: survey of pesticide treatment regimes leaving minimum residues.
apple||OrganismTaxon -- imidacloprid||ChemicalEntity,Association,imidacloprid,ChemicalEntity,apple,OrganismTaxon,General association,2,5.452363,4.917,31070852,1,2,True,False,Synthesis of core-shell magnetic molecularly imprinted polymer for the selective determination of imidacloprid in apple samples.
apple||OrganismTaxon -- lambda-cyhalothrin||ChemicalEntity,Association,lambda-cyhalothrin,ChemicalEntity,apple,OrganismTaxon,General association,1,4.491173,4.491,30445137,1,1,True,False,"Dissipation behavior and dietary risk assessment of lambda-cyhalothrin, thiamethoxam and its metabolite clothianidin in apple after open field application."
apple||OrganismTaxon -- tolyfluanid||ChemicalEntity,Association,tolyfluanid,ChemicalEntity,apple,OrganismTaxon,General association,1,9.025435,9.025,17487602,1,1,True,False,Safe apples for baby-food production: survey of pesticide treatment regimes leaving minimum residues.
arboviruses||DiseaseOrPhenotypicFeature -- permethrin||ChemicalEntity,Association,permethrin,ChemicalEntity,arboviruses,DiseaseOrPhenotypicFeature,General association,1,8.255477,8.255,29357900,1,1,True,False,Insecticide resistance and target site mutations (G119S ace-1 and L1014F kdr) of Culex pipiens in Morocco.
aroA||GeneOrGeneProduct -- glyphosate||ChemicalEntity,Association,glyphosate,ChemicalEntity,aroA,GeneOrGeneProduct,General association,1,8.67471,8.675,24931502,1,1,True,False,Functional characterization of 5-enopyruvylshikimate-3-phosphate synthase from Alkaliphilus metalliredigens in transgenic Arabidopsis.
aromatase||GeneOrGeneProduct -- camphechlor||ChemicalEntity,Association,camphechlor,ChemicalEntity,aromatase,GeneOrGeneProduct,General association,1,7.252668,7.253,16996190,1,1,True,False,Modulation of aromatase activity and mRNA by various selected pesticides in the human choriocarcinoma JEG-3 cell line.
aromatase||GeneOrGeneProduct -- chlorpyrifos||ChemicalEntity,Association,chlorpyrifos,ChemicalEntity,aromatase,GeneOrGeneProduct,General association,1,8.288184,8.288,21129432,1,1,True,False,Foetal and neonatal exposure to chlorpyrifos: biochemical and metabolic alterations in the mouse liver at different developmental stages.
aryl hydrocarbon receptor||GeneOrGeneProduct -- imidacloprid||ChemicalEntity,Association,imidacloprid,ChemicalEntity,aryl hydrocarbon receptor,GeneOrGeneProduct,General association,1,7.8648853,7.865,34119220,1,1,True,False,Functional characterization of the transcription factors AhR and ARNT in Nilaparvata lugens.
astatanylastatine||ChemicalEntity -- atrazine||ChemicalEntity,Association,atrazine,ChemicalEntity,astatanylastatine,ChemicalEntity,General association,1,6.7288027,6.729,17723731,1,1,True,False,"Montmorillonite as an adsorbent for extraction and concentration of atrazine, propazine, deethylatrazine, deisopropylatrazine and hydroxyatrazine."
asulam||ChemicalEntity -- azane||ChemicalEntity,Association,asulam,ChemicalEntity,azane,ChemicalEntity,General association,1,9.385194,9.385,31294971,1,1,True,False,Specific Micropollutant Biotransformation Pattern by the Comammox Bacterium Nitrospira inopinata.
atemoya peroxidase||GeneOrGeneProduct -- glyphosate||ChemicalEntity,Association,glyphosate,ChemicalEntity,atemoya peroxidase,GeneOrGeneProduct,General association,2,9.403498,9.374,22939138,1,2,True,False,Biosensor based on atemoya peroxidase immobilised on modified nanoclay for glyphosate biomonitoring.
"atrazine||ChemicalEntity -- atzA, -B, and -C||GeneOrGeneProduct",Association,atrazine,ChemicalEntity,"atzA, -B, and -C",GeneOrGeneProduct,General association,2,8.498366,8.43,16349478,1,2,True,False,Molecular basis of a bacterial consortium: interspecies catabolism of atrazine.
atrazine||ChemicalEntity -- atzABCDEF||GeneOrGeneProduct,Association,atrazine,ChemicalEntity,atzABCDEF,GeneOrGeneProduct,General association,1,8.837074,8.837,17561946,1,1,True,False,Detection and organization of atrazine-degrading genetic potential of seventeen bacterial isolates belonging to divergent taxa indicate a recent common origin of their catabolic functions.
atrazine||ChemicalEntity -- atzABC||GeneOrGeneProduct,Association,atrazine,ChemicalEntity,atzABC,GeneOrGeneProduct,General association,2,8.914334,7.306,16349478 | 17561946,2,2,True,False,Molecular basis of a bacterial consortium: interspecies catabolism of atrazine.
atrazine||ChemicalEntity -- atzBC||GeneOrGeneProduct,Association,atrazine,ChemicalEntity,atzBC,GeneOrGeneProduct,General association,1,8.913608,8.914,17561946,1,1,True,False,Detection and organization of atrazine-degrading genetic potential of seventeen bacterial isolates belonging to divergent taxa indicate a recent common origin of their catabolic functions.
atrazine||ChemicalEntity -- atzB||GeneOrGeneProduct,Association,atrazine,ChemicalEntity,atzB,GeneOrGeneProduct,General association,1,4.7585015,4.759,21261912,1,1,True,False,Atrazine biodegradation in the lab and in the field: enzymatic activities and gene regulation.
atrazine||ChemicalEntity -- atzC||GeneOrGeneProduct,Association,atrazine,ChemicalEntity,atzC,GeneOrGeneProduct,General association,1,5.697821,5.698,16349478,1,1,True,False,Molecular basis of a bacterial consortium: interspecies catabolism of atrazine.
atrazine||ChemicalEntity -- atz||GeneOrGeneProduct,Association,atrazine,ChemicalEntity,atz,GeneOrGeneProduct,General association,2,8.914334,8.914,17561946,1,1,True,False,Detection and organization of atrazine-degrading genetic potential of seventeen bacterial isolates belonging to divergent taxa indicate a recent common origin of their catabolic functions.
atrazine||ChemicalEntity -- bacteria||OrganismTaxon,Association,atrazine,ChemicalEntity,bacteria,OrganismTaxon,General association,3,8.914334,8.378,17561946 | 31200285,2,3,True,False,Detection and organization of atrazine-degrading genetic potential of seventeen bacterial isolates belonging to divergent taxa indicate a recent common origin of their catabolic functions.
atrazine||ChemicalEntity -- bacterium||OrganismTaxon,Association,atrazine,ChemicalEntity,bacterium,OrganismTaxon,General association,1,8.178924,8.179,24026208,1,1,True,False,Influence of microbial and synthetic surfactant on the biodegradation of atrazine.
atrazine||ChemicalEntity -- bifenthrin||ChemicalEntity,Association,atrazine,ChemicalEntity,bifenthrin,ChemicalEntity,General association,1,9.455985,9.456,17474521,1,1,True,False,Determination of pesticide residues in foods by acetonitrile extraction and partitioning with magnesium sulfate: collaborative study.
atrazine||ChemicalEntity -- bis(sulfanylidene)iron||ChemicalEntity,Association,bis(sulfanylidene)iron,ChemicalEntity,atrazine,ChemicalEntity,General association,1,8.172996,8.173,32050347,1,1,True,False,Pyrite enables persulfate activation for efficient atrazine degradation.
atrazine||ChemicalEntity -- butyl octadecanoate||ChemicalEntity,Association,atrazine,ChemicalEntity,butyl octadecanoate,ChemicalEntity,General association,1,7.6718097,7.672,21121649,1,0,True,False,Metabolism and persistence of atrazine in several field soils with different atrazine application histories.
atrazine||ChemicalEntity -- cancer||DiseaseOrPhenotypicFeature,Association,atrazine,ChemicalEntity,cancer,DiseaseOrPhenotypicFeature,General association,1,10.16694,10.167,27046698,1,1,True,False,"Embryonic atrazine exposure alters zebrafish and human miRNAs associated with angiogenesis, cancer, and neurodevelopment."
atrazine||ChemicalEntity -- carbane||ChemicalEntity,Association,carbane,ChemicalEntity,atrazine,ChemicalEntity,General association,1,7.6718097,7.672,21121649,1,1,True,False,Metabolism and persistence of atrazine in several field soils with different atrazine application histories.
atrazine||ChemicalEntity -- carbendazim||ChemicalEntity,Association,atrazine,ChemicalEntity,carbendazim,ChemicalEntity,General association,1,9.385194,9.385,31325848,1,1,True,False,Ecological Risk Assessment (ERA) of pesticides from freshwater ecosystems in the Pampas region of Argentina: Legacy and current use chemicals contribution.
atrazine||ChemicalEntity -- cattails||DiseaseOrPhenotypicFeature,Association,atrazine,ChemicalEntity,cattails,DiseaseOrPhenotypicFeature,General association,2,9.329214,9.077,11759697,1,2,True,False,Atrazine degradation by bioaugmented sediment from constructed wetlands.
atrazine||ChemicalEntity -- cat||GeneOrGeneProduct,Association,atrazine,ChemicalEntity,cat,GeneOrGeneProduct,General association,1,6.5509357,6.551,29960196,1,1,True,False,Emerging contaminants in Brazilian rivers: Occurrence and effects on gene expression in zebrafish (Danio rerio) embryos.
atrazine||ChemicalEntity -- chestnut||OrganismTaxon,Association,atrazine,ChemicalEntity,chestnut,OrganismTaxon,General association,1,8.288184,8.288,21137390,1,0,True,False,[Adsorption characteristics and mechanism of atrazine on three types of humic acid].
atrazine||ChemicalEntity -- chloride||ChemicalEntity,Association,chloride,ChemicalEntity,atrazine,ChemicalEntity,General association,1,9.724064,9.724,16349478,1,1,True,False,Molecular basis of a bacterial consortium: interspecies catabolism of atrazine.
atrazine||ChemicalEntity -- clofenotane||ChemicalEntity,Association,clofenotane,ChemicalEntity,atrazine,ChemicalEntity,General association,1,5.6704917,5.67,19515599,1,1,True,False,Ultrasonic destruction of pesticide contaminants in slurries.
atrazine||ChemicalEntity -- corn||OrganismTaxon,Association,atrazine,ChemicalEntity,corn,OrganismTaxon,General association,2,7.552037,6.767,11590732,1,2,True,False,Distribution of atrazine in a crop-soil-groundwater system at Baiyangdian Lake area in China.
atrazine||ChemicalEntity -- cyanazine||ChemicalEntity,Association,cyanazine,ChemicalEntity,atrazine,ChemicalEntity,General association,3,8.182931,8.094,10805231 | 9175499,3,3,True,False,Occurrence and load of selected herbicides and metabolites in the lower Mississippi River.
atrazine||ChemicalEntity -- cyanuric acid||ChemicalEntity,Association,atrazine,ChemicalEntity,cyanuric acid,ChemicalEntity,General association,4,6.1896133,5.992,15066779 | 16349478,2,4,True,False,Molecular basis of a bacterial consortium: interspecies catabolism of atrazine.
atrazine||ChemicalEntity -- cyanuric acid||ChemicalEntity,Bind,atrazine,ChemicalEntity,cyanuric acid,ChemicalEntity,Binding / interaction,1,5.1152816,5.115,21261912,1,1,True,False,Atrazine biodegradation in the lab and in the field: enzymatic activities and gene regulation.
atrazine||ChemicalEntity -- developmental abnormality of ovary and oviduct||DiseaseOrPhenotypicFeature,Association,atrazine,ChemicalEntity,developmental abnormality of ovary and oviduct,DiseaseOrPhenotypicFeature,General association,1,8.845243,8.845,26432752,1,1,True,False,Atrazine triggers developmental abnormality of ovary and oviduct in quails (Coturnix Coturnix coturnix) via disruption of hypothalamo-pituitary-ovarian axis.
atrazine||ChemicalEntity -- dialuminum;tetrakis(dioxosilane);tris(oxygen(2-));hydrate||ChemicalEntity,Association,dialuminum;tetrakis(dioxosilane);tris(oxygen(2-));hydrate,ChemicalEntity,atrazine,ChemicalEntity,General association,1,7.1428766,7.143,17723731,1,1,True,False,"Montmorillonite as an adsorbent for extraction and concentration of atrazine, propazine, deethylatrazine, deisopropylatrazine and hydroxyatrazine."
atrazine||ChemicalEntity -- dianat||ChemicalEntity,Association,dianat,ChemicalEntity,atrazine,ChemicalEntity,General association,1,7.9473276,7.947,9175499,1,1,True,False,Comparative sensitivity of Selenastrum capricornutum and Lemna minor to sixteen herbicides.
atrazine||ChemicalEntity -- diethion||ChemicalEntity,Association,atrazine,ChemicalEntity,diethion,ChemicalEntity,General association,1,9.263188,9.263,17474521,1,1,True,False,Determination of pesticide residues in foods by acetonitrile extraction and partitioning with magnesium sulfate: collaborative study.
atrazine||ChemicalEntity -- ecotoxicity||DiseaseOrPhenotypicFeature,Association,atrazine,ChemicalEntity,ecotoxicity,DiseaseOrPhenotypicFeature,General association,1,9.385194,9.385,31200285,1,1,True,False,"Bioaugmentation of atrazine removal in constructed wetland: Performance, microbial dynamics, and environmental impacts."
atrazine||ChemicalEntity -- fenoxycarb||ChemicalEntity,Association,atrazine,ChemicalEntity,fenoxycarb,ChemicalEntity,General association,1,6.8653517,6.865,19403157,1,1,True,False,"Assessment of the pesticides atrazine, endosulfan sulphate and chlorpyrifos for juvenoid-related endocrine activity using Daphnia magna."
atrazine||ChemicalEntity -- gold||ChemicalEntity,Association,gold,ChemicalEntity,atrazine,ChemicalEntity,General association,2,7.722158,7.66,33533352,1,2,True,False,Optimization of gold nanorod arrays for surface enhanced Raman spectroscopy (SERS) detection of atrazine.
atrazine||ChemicalEntity -- growth impairment||DiseaseOrPhenotypicFeature,Association,atrazine,ChemicalEntity,growth impairment,DiseaseOrPhenotypicFeature,General association,1,8.972068,8.972,19183821,1,1,True,False,Mississippi oxbow lake sediment quality during an artificial flood.
atrazine||ChemicalEntity -- hydrogen peroxide||ChemicalEntity,Association,atrazine,ChemicalEntity,hydrogen peroxide,ChemicalEntity,General association,1,8.71173,8.712,29407820,1,1,True,False,A novel method for synthesis of polyaniline and its application for catalytic degradation of atrazine in a Fenton-like system.
atrazine||ChemicalEntity -- hydrogen sulfite||ChemicalEntity,Association,atrazine,ChemicalEntity,hydrogen sulfite,ChemicalEntity,General association,1,9.133051,9.133,36195145,1,1,True,False,"Enhanced degradation of atrazine through UV/bisulfite: Mechanism, reaction pathways and toxicological analysis."
atrazine||ChemicalEntity -- iron||ChemicalEntity,Association,iron,ChemicalEntity,atrazine,ChemicalEntity,General association,1,5.9518933,5.952,33293096,1,1,True,False,Iron-crosslinked alginate derived Fe/C composites for atrazine removal from water.
atrazine||ChemicalEntity -- karst||OrganismTaxon,Association,atrazine,ChemicalEntity,karst,OrganismTaxon,General association,1,7.4246063,7.425,20176824,1,0,True,False,Microbial atrazine breakdown in a karst groundwater system and its effect on ecosystem energetics.
atrazine||ChemicalEntity -- lanthanum||ChemicalEntity,Association,atrazine,ChemicalEntity,lanthanum,ChemicalEntity,General association,1,7.5445786,7.545,35298801,1,1,True,False,Photocatalytic degradation of atrazine in aqueous solution using La-doped ZnO/PAN nanofibers.
"atrazine||ChemicalEntity -- magnesium methyl (3R,22S)-16-ethenyl-11-ethyl-4-hydroxy-12,17,21,26-tetramethyl-22-[3-oxo-3-[(E,7R,11R)-3,7,11,15-tetramethylhexadec-2-enoxy]propyl]-23,25-diazonia-7,24-diazanidahexacyclo[18.2.1.15,8.110,13.115,18.02,6]hexacosa-1(23),2(6),4,8(26),9,11,13(25),14,16,18,20-undecaene-3-carboxylate||ChemicalEntity",Association,"magnesium methyl (3R,22S)-16-ethenyl-11-ethyl-4-hydroxy-12,17,21,26-tetramethyl-22-[3-oxo-3-[(E,7R,11R)-3,7,11,15-tetramethylhexadec-2-enoxy]propyl]-23,25-diazonia-7,24-diazanidahexacyclo[18.2.1.15,8.110,13.115,18.02,6]hexacosa-1(23),2(6),4,8(26),9,11,13(25),14,16,18,20-undecaene-3-carboxylate",ChemicalEntity,atrazine,ChemicalEntity,General association,1,7.100752,7.101,34759756,1,1,True,False,"The Growth, physiological and biochemical response of foxtail millet to atrazine herbicide."
atrazine||ChemicalEntity -- magnesium sulfate||ChemicalEntity,Association,atrazine,ChemicalEntity,magnesium sulfate,ChemicalEntity,General association,1,7.532007,7.532,10868593,1,1,True,False,Analysis of pesticide residues in mixed fruit and vegetable extracts by direct sample introduction/gas chromatography/tandem mass spectrometry.
atrazine||ChemicalEntity -- metalaxyl||ChemicalEntity,Association,atrazine,ChemicalEntity,metalaxyl,ChemicalEntity,General association,1,8.972029,8.972,19071262,1,1,True,False,Comparison of different sorbents for multiresidue solid-phase extraction of 16 pesticides from groundwater coupled with high-performance liquid chromatography.
atrazine||ChemicalEntity -- methane||ChemicalEntity,Association,atrazine,ChemicalEntity,methane,ChemicalEntity,General association,2,5.7129865,5.518,22128536 | 4024447,2,2,True,False,Preparation and characterization of a lipoid adsorption material and its atrazine removal performance.
atrazine||ChemicalEntity -- methanotrophic||OrganismTaxon,Association,atrazine,ChemicalEntity,methanotrophic,OrganismTaxon,General association,1,5.5377927,5.538,19719567,1,1,True,False,Effect of long-term herbicide applications on the bacterial community structure and function in an agricultural soil.
atrazine||ChemicalEntity -- methidathion||ChemicalEntity,Association,methidathion,ChemicalEntity,atrazine,ChemicalEntity,General association,2,6.8291006,6.829,12959522,1,2,True,False,Growth and nitrite and nitrous oxide accumulation of Paracoccus denitrificans ATCC 19367 in the presence of selected pesticides.
