final_relation_key,pred_label,entity1_display_name,entity1_canonical_text,entity1_type,entity1_merge_id,entity1_pubchem_cid,entity1_pubchem_inchikey,entity2_display_name,entity2_canonical_text,entity2_type,entity2_merge_id,entity2_pubchem_cid,entity2_pubchem_inchikey,relation_group,relation_count,max_pred_score,mean_pred_score,pmids,same_sentence_count,has_validated_pesticide,has_unvalidated_chemical,example_title,unique_pmid_count
INCHIKEY:XDDAORKBJWWYJS-UHFFFAOYSA-N||ChemicalEntity --> TEXT:DiseaseOrPhenotypicFeature:asd||DiseaseOrPhenotypicFeature,Positive_Correlation,glyphosate,glyphosate,ChemicalEntity,INCHIKEY:XDDAORKBJWWYJS-UHFFFAOYSA-N,3496,XDDAORKBJWWYJS-UHFFFAOYSA-N,ASD,ASD,DiseaseOrPhenotypicFeature,TEXT:DiseaseOrPhenotypicFeature:asd,,,Positive effect,4,9.175487,8.418,32460093,4,True,False,"Pesticides used in Europe and autism spectrum disorder risk: can novel exposure hypotheses be formulated beyond organophosphates, organochlorines, pyrethroids and carbamates? - A systematic review.",1
INCHIKEY:DUEPRVBVGDRKAG-UHFFFAOYSA-N||ChemicalEntity --> TEXT:DiseaseOrPhenotypicFeature:inflammation||DiseaseOrPhenotypicFeature,Positive_Correlation,carbofuran,carbofuran,ChemicalEntity,INCHIKEY:DUEPRVBVGDRKAG-UHFFFAOYSA-N,2566,DUEPRVBVGDRKAG-UHFFFAOYSA-N,inflammation,inflammation,DiseaseOrPhenotypicFeature,TEXT:DiseaseOrPhenotypicFeature:inflammation,,,Positive effect,1,9.17493,9.175,31819878,1,True,False,The effects of laser diode treatment on liver dysfunction of Mus musculus due to carbofuran exposure: An in vivo study.,1
INCHIKEY:ZSDSQXJSNMTJDA-UHFFFAOYSA-N||ChemicalEntity --> TEXT:DiseaseOrPhenotypicFeature:chagas disease||DiseaseOrPhenotypicFeature,Negative_Correlation,trifluralin,trifluralin,ChemicalEntity,INCHIKEY:ZSDSQXJSNMTJDA-UHFFFAOYSA-N,5569,ZSDSQXJSNMTJDA-UHFFFAOYSA-N,Chagas disease,Chagas disease,DiseaseOrPhenotypicFeature,TEXT:DiseaseOrPhenotypicFeature:chagas disease,,,Negative effect,1,9.174173,9.174,17651308,1,True,False,Trifluralin toxicity in a Chagas disease mouse model.,1
"INCHIKEY:RLLPVAHGXHCWKJ-UHFFFAOYSA-N||ChemicalEntity -- TEXT:ChemicalEntity:1s,3r,5r,6s,8r,10r,11s,13r,15r,16s,18r,20r,21s,23r,25r,26s,28r,30r,31s,33r,35r,36r,37r,38r,39r,40r,41r,42r,43r,44r,45r,46r,47r,48r,49r)-5,10,15,20,25,30,35-heptakis(hydroxymethyl)-2,4,7,9,12,14,17,19,22,24,27,29,32,34-tetradecaoxaoctacyclo[31.2.2.23,6.28,11.213,16.218,21.223,26.228,31]nonatetracontane-36,37,38,39,40,41,42,43,44,45,46,47,48,49-tetradecol||ChemicalEntity",Association,permethrin,permethrin,ChemicalEntity,INCHIKEY:RLLPVAHGXHCWKJ-UHFFFAOYSA-N,40326,RLLPVAHGXHCWKJ-UHFFFAOYSA-N,"(1S,3R,5R,6S,8R,10R,11S,13R,15R,16S,18R,20R,21S,23R,25R,26S,28R,30R,31S,33R,35R,36R,37R,38R,39R,40R,41R,42R,43R,44R,45R,46R,47R,48R,49R)-5,10,15,20,25,30,35-heptakis(hydroxymethyl)-2,4,7,9,12,14,17,19,22,24,27,29,32,34-tetradecaoxaoctacyclo[31.2.2.23,6.28,11.213,16.218,21.223,26.228,31]nonatetracontane-36,37,38,39,40,41,42,43,44,45,46,47,48,49-tetradecol","(1S,3R,5R,6S,8R,10R,11S,13R,15R,16S,18R,20R,21S,23R,25R,26S,28R,30R,31S,33R,35R,36R,37R,38R,39R,40R,41R,42R,43R,44R,45R,46R,47R,48R,49R)-5,10,15,20,25,30,35-heptakis(hydroxymethyl)-2,4,7,9,12,14,17,19,22,24,27,29,32,34-tetradecaoxaoctacyclo[31.2.2.23,6.28,11.213,16.218,21.223,26.228,31]nonatetracontane-36,37,38,39,40,41,42,43,44,45,46,47,48,49-tetradecol",ChemicalEntity,"TEXT:ChemicalEntity:1s,3r,5r,6s,8r,10r,11s,13r,15r,16s,18r,20r,21s,23r,25r,26s,28r,30r,31s,33r,35r,36r,37r,38r,39r,40r,41r,42r,43r,44r,45r,46r,47r,48r,49r)-5,10,15,20,25,30,35-heptakis(hydroxymethyl)-2,4,7,9,12,14,17,19,22,24,27,29,32,34-tetradecaoxaoctacyclo[31.2.2.23,6.28,11.213,16.218,21.223,26.228,31]nonatetracontane-36,37,38,39,40,41,42,43,44,45,46,47,48,49-tetradecol",,,General association,9,9.174168,7.905,16571020,5,True,False,Bioactive permethrin/beta-cyclodextrin inclusion complex.,1
INCHIKEY:JUZXDNPBRPUIOR-UHFFFAOYSA-N||ChemicalEntity --> TEXT:GeneOrGeneProduct:rbabcg2||GeneOrGeneProduct,Negative_Correlation,chlormequat,chlormequat,ChemicalEntity,INCHIKEY:JUZXDNPBRPUIOR-UHFFFAOYSA-N,13837,JUZXDNPBRPUIOR-UHFFFAOYSA-N,rbABCG2,rbABCG2,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:rbabcg2,,,Negative effect,1,9.17405,9.174,27288731,1,True,False,Assessment of ABCG2-mediated transport of pesticides across the rabbit placenta barrier using a novel MDCKII in vitro model.,1
INCHIKEY:DVDUMIQZEUTAGK-UHFFFAOYSA-N||ChemicalEntity -- INCHIKEY:SBPBAQFWLVIOKP-UHFFFAOYSA-N||ChemicalEntity,Association,(4-nitrophenyl) butanoate,(4-nitrophenyl) butanoate,ChemicalEntity,INCHIKEY:DVDUMIQZEUTAGK-UHFFFAOYSA-N,75834,DVDUMIQZEUTAGK-UHFFFAOYSA-N,chlorpyrifos,chlorpyrifos,ChemicalEntity,INCHIKEY:SBPBAQFWLVIOKP-UHFFFAOYSA-N,2730,SBPBAQFWLVIOKP-UHFFFAOYSA-N,General association,1,9.173709,9.174,33288284,1,True,False,"Acute neurotoxicity evaluation of two anticholinesterasic insecticides, independently and in mixtures, and a neonicotinoid on a freshwater gastropod.",1
INCHIKEY:KAATUXNTWXVJKI-UHFFFAOYSA-N||ChemicalEntity -- TEXT:OrganismTaxon:lactobacillus pentosus 3-27||OrganismTaxon,Association,beta-cypermethrin,beta-cypermethrin,ChemicalEntity,INCHIKEY:KAATUXNTWXVJKI-UHFFFAOYSA-N,2912,KAATUXNTWXVJKI-UHFFFAOYSA-N,Lactobacillus pentosus 3-27,Lactobacillus pentosus 3-27,OrganismTaxon,TEXT:OrganismTaxon:lactobacillus pentosus 3-27,,,General association,1,9.171098,9.171,34488094,1,True,False,Characterization of a novel beta-cypermethrin-degrading strain of Lactobacillus pentosus 3-27 and its effects on bioremediation and the bacterial community of contaminated alfalfa silage.,1
INCHIKEY:BIWJNBZANLAXMG-YQELWRJZSA-N||ChemicalEntity --> TEXT:DiseaseOrPhenotypicFeature:colon cancer||DiseaseOrPhenotypicFeature,Positive_Correlation,chlordane,chlordane,ChemicalEntity,INCHIKEY:BIWJNBZANLAXMG-YQELWRJZSA-N,11954021,BIWJNBZANLAXMG-YQELWRJZSA-N,colon cancer,colon cancer,DiseaseOrPhenotypicFeature,TEXT:DiseaseOrPhenotypicFeature:colon cancer,,,Positive effect,1,9.170307,9.17,28659405,1,True,False,Fish Oil Contaminated with Persistent Organic Pollutants Induces Colonic Aberrant Crypt Foci Formation and Reduces Antioxidant Enzyme Gene Expression in Rats.,1
INCHIKEY:LHHGDZSESBACKH-UHFFFAOYSA-N||ChemicalEntity -- TEXT:OrganismTaxon:m. rosenbergii||OrganismTaxon,Association,chlordecone,chlordecone,ChemicalEntity,INCHIKEY:LHHGDZSESBACKH-UHFFFAOYSA-N,299,LHHGDZSESBACKH-UHFFFAOYSA-N,M. rosenbergii,M. rosenbergii,OrganismTaxon,TEXT:OrganismTaxon:m. rosenbergii,,,General association,1,9.169447,9.169,27470247,1,True,False,Vitellogenin and vitellogenin receptor gene expression and 20-hydroxyecdysone concentration in Macrobrachium rosenbergii exposed to chlordecone.,1
INCHIKEY:JXSJBGJIGXNWCI-UHFFFAOYSA-N||ChemicalEntity --> INCHIKEY:LEZWWPYKPKIXLL-UHFFFAOYSA-N||ChemicalEntity,Negative_Correlation,carbophos,carbophos,ChemicalEntity,INCHIKEY:JXSJBGJIGXNWCI-UHFFFAOYSA-N,4004,JXSJBGJIGXNWCI-UHFFFAOYSA-N,"1-[2-[(4-chlorophenyl)methoxy]-2-(2,4-dichlorophenyl)ethyl]imidazole","1-[2-[(4-chlorophenyl)methoxy]-2-(2,4-dichlorophenyl)ethyl]imidazole",ChemicalEntity,INCHIKEY:LEZWWPYKPKIXLL-UHFFFAOYSA-N,3198,LEZWWPYKPKIXLL-UHFFFAOYSA-N,Negative effect,1,9.169446,9.169,31153463,1,True,False,Uncovering malathion (an organophosphate insecticide) action on Ca2+ signal transduction and investigating the effects of BAPTA-AM (a cell-permeant Ca2+ chelator) on protective responses in glial cells.,1
INCHIKEY:SBPBAQFWLVIOKP-UHFFFAOYSA-N||ChemicalEntity -- TEXT:GeneOrGeneProduct:c-jun||GeneOrGeneProduct,Association,chlorpyrifos,chlorpyrifos,ChemicalEntity,INCHIKEY:SBPBAQFWLVIOKP-UHFFFAOYSA-N,2730,SBPBAQFWLVIOKP-UHFFFAOYSA-N,c-Jun,c-Jun,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:c-jun,,,General association,1,9.169208,9.169,14691213,1,True,False,Chlorpyrifos induces apoptosis in rat cortical neurons that is regulated by a balance between p38 and ERK/JNK MAP kinases.,1
TEXT:ChemicalEntity:neonicotinoid||ChemicalEntity --> TEXT:DiseaseOrPhenotypicFeature:csfb||DiseaseOrPhenotypicFeature,Negative_Correlation,neonicotinoid,neonicotinoid,ChemicalEntity,TEXT:ChemicalEntity:neonicotinoid,,,CSFB,CSFB,DiseaseOrPhenotypicFeature,TEXT:DiseaseOrPhenotypicFeature:csfb,,,Negative effect,1,9.168747,9.169,31539393,1,True,False,Cabbage stem flea beetle's (Psylliodes chrysocephala L.) susceptibility to pyrethroids and tolerance to thiacloprid in the Czech Republic.,1
INCHIKEY:CHNQZRKUZPNOOH-UHFFFAOYSA-J||ChemicalEntity -- TEXT:GeneOrGeneProduct:s100a6||GeneOrGeneProduct,Association,mancozeb,mancozeb,ChemicalEntity,INCHIKEY:CHNQZRKUZPNOOH-UHFFFAOYSA-J,3034368,CHNQZRKUZPNOOH-UHFFFAOYSA-J,S100A6,S100A6,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:s100a6,,,General association,1,9.168191,9.168,21375462,1,True,False,Neoplastic alterations induced in mammalian skin following mancozeb exposure using in vivo and in vitro models.,1
INCHIKEY:SBPBAQFWLVIOKP-UHFFFAOYSA-N||ChemicalEntity -- TEXT:GeneOrGeneProduct:nlgste1||GeneOrGeneProduct,Association,chlorpyrifos,chlorpyrifos,ChemicalEntity,INCHIKEY:SBPBAQFWLVIOKP-UHFFFAOYSA-N,2730,SBPBAQFWLVIOKP-UHFFFAOYSA-N,NlGSTe1,NlGSTe1,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:nlgste1,,,General association,1,9.166808,9.167,23457591,1,True,False,"Genomic insights into the glutathione S-transferase gene family of two rice planthoppers, Nilaparvata lugens (Stål) and Sogatella furcifera (Horváth) (Hemiptera: Delphacidae).",1
INCHIKEY:SBPBAQFWLVIOKP-UHFFFAOYSA-N||ChemicalEntity --> TEXT:GeneOrGeneProduct:alpha-glucosidase||GeneOrGeneProduct,Positive_Correlation,chlorpyrifos,chlorpyrifos,ChemicalEntity,INCHIKEY:SBPBAQFWLVIOKP-UHFFFAOYSA-N,2730,SBPBAQFWLVIOKP-UHFFFAOYSA-N,alpha-glucosidase,alpha-glucosidase,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:alpha-glucosidase,,,Positive effect,1,9.166662,9.167,32683019,1,True,False,Insecticides cause transcriptional alterations of endocrine related genes in the brain of honey bee foragers.,1
INCHIKEY:SBPBAQFWLVIOKP-UHFFFAOYSA-N||ChemicalEntity --> TEXT:GeneOrGeneProduct:royal jelly protein||GeneOrGeneProduct,Positive_Correlation,chlorpyrifos,chlorpyrifos,ChemicalEntity,INCHIKEY:SBPBAQFWLVIOKP-UHFFFAOYSA-N,2730,SBPBAQFWLVIOKP-UHFFFAOYSA-N,royal jelly protein,royal jelly protein,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:royal jelly protein,,,Positive effect,1,9.166573,9.167,32683019,1,True,False,Insecticides cause transcriptional alterations of endocrine related genes in the brain of honey bee foragers.,1
INCHIKEY:HRBKVYFZANMGRE-UHFFFAOYSA-N||ChemicalEntity -- INCHIKEY:HYVWIQDYBVKITD-UHFFFAOYSA-N||ChemicalEntity,Association,tolyfluanid,tolyfluanid,ChemicalEntity,INCHIKEY:HYVWIQDYBVKITD-UHFFFAOYSA-N,12898,HYVWIQDYBVKITD-UHFFFAOYSA-N,chlorpyrifos-methyl,chlorpyrifos-methyl,ChemicalEntity,INCHIKEY:HRBKVYFZANMGRE-UHFFFAOYSA-N,21803,HRBKVYFZANMGRE-UHFFFAOYSA-N,General association,1,9.165408,9.165,17474521,1,True,False,Determination of pesticide residues in foods by acetonitrile extraction and partitioning with magnesium sulfate: collaborative study.,1
INCHIKEY:XDDAORKBJWWYJS-UHFFFAOYSA-N||ChemicalEntity --> TEXT:GeneOrGeneProduct:epsps||GeneOrGeneProduct,Negative_Correlation,glyphosate,glyphosate,ChemicalEntity,INCHIKEY:XDDAORKBJWWYJS-UHFFFAOYSA-N,3496,XDDAORKBJWWYJS-UHFFFAOYSA-N,EPSPS,EPSPS,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:epsps,,,Negative effect,4,9.1651,7.718,20018685 | 25822532 | 35422967,4,True,False,Gene amplification confers glyphosate resistance in Amaranthus palmeri.,3
INCHIKEY:SBPBAQFWLVIOKP-UHFFFAOYSA-N||ChemicalEntity --> TEXT:GeneOrGeneProduct:rbabcg2||GeneOrGeneProduct,Negative_Correlation,chlorpyrifos,chlorpyrifos,ChemicalEntity,INCHIKEY:SBPBAQFWLVIOKP-UHFFFAOYSA-N,2730,SBPBAQFWLVIOKP-UHFFFAOYSA-N,rbABCG2,rbABCG2,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:rbabcg2,,,Negative effect,1,9.164881,9.165,27288731,1,True,False,Assessment of ABCG2-mediated transport of pesticides across the rabbit placenta barrier using a novel MDCKII in vitro model.,1
INCHIKEY:YWTYJOPNNQFBPC-UHFFFAOYSA-N||ChemicalEntity -- INCHIKEY:ZSDSQXJSNMTJDA-UHFFFAOYSA-N||ChemicalEntity,Association,imidacloprid,imidacloprid,ChemicalEntity,INCHIKEY:YWTYJOPNNQFBPC-UHFFFAOYSA-N,86287518,YWTYJOPNNQFBPC-UHFFFAOYSA-N,trifluralin,trifluralin,ChemicalEntity,INCHIKEY:ZSDSQXJSNMTJDA-UHFFFAOYSA-N,5569,ZSDSQXJSNMTJDA-UHFFFAOYSA-N,General association,1,9.164612,9.165,17474521,1,True,False,Determination of pesticide residues in foods by acetonitrile extraction and partitioning with magnesium sulfate: collaborative study.,1
INCHIKEY:RDYMFSUJUZBWLH-UHFFFAOYSA-N||ChemicalEntity --> TEXT:GeneOrGeneProduct:hsp70||GeneOrGeneProduct,Positive_Correlation,benzoepin,benzoepin,ChemicalEntity,INCHIKEY:RDYMFSUJUZBWLH-UHFFFAOYSA-N,3224,RDYMFSUJUZBWLH-UHFFFAOYSA-N,HSP70,HSP70,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:hsp70,,,Positive effect,1,9.164277,9.164,25569846,1,True,False,Interactive effects of ultraviolet-B radiation and pesticide exposure on DNA photo-adduct accumulation and expression of DNA damage and repair genes in Xenopus laevis embryos.,1
INCHIKEY:WCXDHFDTOYPNIE-UHFFFAOYSA-N||ChemicalEntity --> TEXT:DiseaseOrPhenotypicFeature:insect pests||DiseaseOrPhenotypicFeature,Negative_Correlation,acetamiprid,acetamiprid,ChemicalEntity,INCHIKEY:WCXDHFDTOYPNIE-UHFFFAOYSA-N,213021,WCXDHFDTOYPNIE-UHFFFAOYSA-N,insect pests,insect pests,DiseaseOrPhenotypicFeature,TEXT:DiseaseOrPhenotypicFeature:insect pests,,,Negative effect,2,9.164049,7.922,37505564 | 38818490,2,True,False,Screening of Toxic Effects of Neonicotinoid Insecticides with a Focus on Acetamiprid: A Review.,2
INCHIKEY:KAATUXNTWXVJKI-UHFFFAOYSA-N||ChemicalEntity --> TEXT:DiseaseOrPhenotypicFeature:hypospadias||DiseaseOrPhenotypicFeature,Positive_Correlation,cypermethrin,cypermethrin,ChemicalEntity,INCHIKEY:KAATUXNTWXVJKI-UHFFFAOYSA-N,2912,KAATUXNTWXVJKI-UHFFFAOYSA-N,hypospadias,hypospadias,DiseaseOrPhenotypicFeature,TEXT:DiseaseOrPhenotypicFeature:hypospadias,,,Positive effect,1,9.163513,9.164,35798100,1,True,False,"Maternal exposure to DDT, DDE, and pyrethroid insecticides for malaria vector control and hypospadias in the VHEMBE birth cohort study, Limpopo, South Africa.",1
INCHIKEY:YKBZOVFACRVRJN-UHFFFAOYSA-N||ChemicalEntity --> TEXT:DiseaseOrPhenotypicFeature:dysmorphogenesis||DiseaseOrPhenotypicFeature,Positive_Correlation,dinotefuran,dinotefuran,ChemicalEntity,INCHIKEY:YKBZOVFACRVRJN-UHFFFAOYSA-N,197701,YKBZOVFACRVRJN-UHFFFAOYSA-N,dysmorphogenesis,dysmorphogenesis,DiseaseOrPhenotypicFeature,TEXT:DiseaseOrPhenotypicFeature:dysmorphogenesis,,,Positive effect,1,9.1631155,9.163,37149154,1,True,False,Developmental exposure of zebrafish to neonicotinoid pesticides: Long-term effects on neurobehavioral function.,1
INCHIKEY:WYEMLYFITZORAB-UHFFFAOYSA-N||ChemicalEntity --> TEXT:GeneOrGeneProduct:succinate dehydrogenase||GeneOrGeneProduct,Negative_Correlation,boscalid,boscalid,ChemicalEntity,INCHIKEY:WYEMLYFITZORAB-UHFFFAOYSA-N,213013,WYEMLYFITZORAB-UHFFFAOYSA-N,succinate dehydrogenase,succinate dehydrogenase,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:succinate dehydrogenase,,,Negative effect,1,9.161593,9.162,31590203,1,True,False,Dispersive solid-phase extraction combined with dispersive liquid-liquid microextraction for simultaneous determination of seven succinate dehydrogenase inhibitor fungicides in watermelon by ultra high performance liquid chromatography with tandem mass spectrometry.,1
INCHIKEY:FHIVAFMUCKRCQO-UHFFFAOYSA-N||ChemicalEntity -- TEXT:GeneOrGeneProduct:wnt||GeneOrGeneProduct,Association,diazinon,diazinon,ChemicalEntity,INCHIKEY:FHIVAFMUCKRCQO-UHFFFAOYSA-N,3017,FHIVAFMUCKRCQO-UHFFFAOYSA-N,wnt,wnt,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:wnt,,,General association,1,9.160743,9.161,18502319,1,True,False,"Targeting of neurotrophic factors, their receptors, and signaling pathways in the developmental neurotoxicity of organophosphates in vivo and in vitro.",1
INCHIKEY:YWTYJOPNNQFBPC-UHFFFAOYSA-N||ChemicalEntity -- TEXT:GeneOrGeneProduct:nachr||GeneOrGeneProduct,Association,imidacloprid,imidacloprid,ChemicalEntity,INCHIKEY:YWTYJOPNNQFBPC-UHFFFAOYSA-N,86287518,YWTYJOPNNQFBPC-UHFFFAOYSA-N,nAChR,nAChR,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:nachr,,,General association,3,9.160368,8.66,28811174 | 34653458 | 39181260,2,True,False,Subchronic exposure to sublethal dose of imidacloprid changes electrophysiological properties and expression pattern of nicotinic acetylcholine receptor subtypes in insect neurosecretory cells.,3
INCHIKEY:RLLPVAHGXHCWKJ-UHFFFAOYSA-N||ChemicalEntity -- TEXT:OrganismTaxon:anopheles gambiae sensu lato (s.l||OrganismTaxon,Association,permethrin,permethrin,ChemicalEntity,INCHIKEY:RLLPVAHGXHCWKJ-UHFFFAOYSA-N,40326,RLLPVAHGXHCWKJ-UHFFFAOYSA-N,Anopheles gambiae sensu lato (s.l.),Anopheles gambiae sensu lato (s.l.),OrganismTaxon,TEXT:OrganismTaxon:anopheles gambiae sensu lato (s.l,,,General association,1,9.160368,9.16,28818077,1,True,False,Evaluation of piperonyl butoxide in enhancing the efficacy of pyrethroid insecticides against resistant Anopheles gambiae s.l. in Ghana.,1
INCHIKEY:UHXUZOCRWCRNSJ-UHFFFAOYSA-N||ChemicalEntity -- TEXT:OrganismTaxon:drosophila suzukii||OrganismTaxon,Association,methomyl,methomyl,ChemicalEntity,INCHIKEY:UHXUZOCRWCRNSJ-UHFFFAOYSA-N,4109,UHXUZOCRWCRNSJ-UHFFFAOYSA-N,Drosophila suzukii,Drosophila suzukii,OrganismTaxon,TEXT:OrganismTaxon:drosophila suzukii,,,General association,1,9.160368,9.16,28815867,0,True,False,Baseline susceptibility of spotted wing Drosophila (Drosophila suzukii) to four key insecticide classes.,1
INCHIKEY:WYEMLYFITZORAB-UHFFFAOYSA-N||ChemicalEntity --> TEXT:DiseaseOrPhenotypicFeature:pistachio||DiseaseOrPhenotypicFeature,Negative_Correlation,boscalid,boscalid,ChemicalEntity,INCHIKEY:WYEMLYFITZORAB-UHFFFAOYSA-N,213013,WYEMLYFITZORAB-UHFFFAOYSA-N,pistachio,pistachio,DiseaseOrPhenotypicFeature,TEXT:DiseaseOrPhenotypicFeature:pistachio,,,Negative effect,1,9.158326,9.158,30780513,1,True,False,Resistance to Boscalid Fungicide in Alternaria alternata Isolates from Pistachio in California.,1
INCHIKEY:CHIFOSRWCNZCFN-UHFFFAOYSA-N||ChemicalEntity --> TEXT:GeneOrGeneProduct:superoxide dismutase||GeneOrGeneProduct,Negative_Correlation,pendimethalin,pendimethalin,ChemicalEntity,INCHIKEY:CHIFOSRWCNZCFN-UHFFFAOYSA-N,38479,CHIFOSRWCNZCFN-UHFFFAOYSA-N,superoxide dismutase,superoxide dismutase,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:superoxide dismutase,,,Negative effect,1,9.158277,9.158,24293324,1,True,False,"Physiological and oxidative stress biomarkers in the freshwater monosex Nile tilapia, Oreochromis niloticus L., exposed to pendimethalin-based herbicide.",1
INCHIKEY:QHOQHJPRIBSPCY-UHFFFAOYSA-N||ChemicalEntity -- INCHIKEY:RLLPVAHGXHCWKJ-UHFFFAOYSA-N||ChemicalEntity,Association,permethrin,permethrin,ChemicalEntity,INCHIKEY:RLLPVAHGXHCWKJ-UHFFFAOYSA-N,40326,RLLPVAHGXHCWKJ-UHFFFAOYSA-N,pirimiphos-methyl,pirimiphos-methyl,ChemicalEntity,INCHIKEY:QHOQHJPRIBSPCY-UHFFFAOYSA-N,34526,QHOQHJPRIBSPCY-UHFFFAOYSA-N,General association,5,9.156735,8.424,1685337 | 28835269,5,True,False,"Insecticide resistance status of three malaria vectors, Anopheles gambiae (s.l.), An. funestus and An. mascarensis, from the south, central and east coasts of Madagascar.",2
INCHIKEY:QHOQHJPRIBSPCY-UHFFFAOYSA-N||ChemicalEntity -- INCHIKEY:ZOKXUAHZSKEQSS-UHFFFAOYSA-N||ChemicalEntity,Association,pirimiphos-methyl,pirimiphos-methyl,ChemicalEntity,INCHIKEY:QHOQHJPRIBSPCY-UHFFFAOYSA-N,34526,QHOQHJPRIBSPCY-UHFFFAOYSA-N,1-bis(butylsulfanyl)phosphorylsulfanylbutane,1-bis(butylsulfanyl)phosphorylsulfanylbutane,ChemicalEntity,INCHIKEY:ZOKXUAHZSKEQSS-UHFFFAOYSA-N,5125,ZOKXUAHZSKEQSS-UHFFFAOYSA-N,General association,2,9.156735,8.87,28835269,2,True,False,"Insecticide resistance status of three malaria vectors, Anopheles gambiae (s.l.), An. funestus and An. mascarensis, from the south, central and east coasts of Madagascar.",1
INCHIKEY:QHOQHJPRIBSPCY-UHFFFAOYSA-N||ChemicalEntity -- INCHIKEY:ZXQYGBMAQZUVMI-RDDWSQKMSA-N||ChemicalEntity,Association,lambda-cyhalothrin,lambda-cyhalothrin,ChemicalEntity,INCHIKEY:ZXQYGBMAQZUVMI-RDDWSQKMSA-N,6440557,ZXQYGBMAQZUVMI-RDDWSQKMSA-N,pirimiphos-methyl,pirimiphos-methyl,ChemicalEntity,INCHIKEY:QHOQHJPRIBSPCY-UHFFFAOYSA-N,34526,QHOQHJPRIBSPCY-UHFFFAOYSA-N,General association,2,9.156735,8.795,1685337 | 28835269,2,True,False,Experimental hut trials of bednets impregnated with synthetic pyrethroid or organophosphate insecticide for mosquito control in The Gambia.,2
INCHIKEY:VXSIXFKKSNGRRO-MXOVTSAMSA-N||ChemicalEntity -- TEXT:OrganismTaxon:anopheles gambiae (s.l||OrganismTaxon,Association,pyrethroid,pyrethroid,ChemicalEntity,INCHIKEY:VXSIXFKKSNGRRO-MXOVTSAMSA-N,60202781,VXSIXFKKSNGRRO-MXOVTSAMSA-N,Anopheles gambiae (s.l.,Anopheles gambiae (s.l.,OrganismTaxon,TEXT:OrganismTaxon:anopheles gambiae (s.l,,,General association,2,9.156735,8.684,28835269,2,True,False,"Insecticide resistance status of three malaria vectors, Anopheles gambiae (s.l.), An. funestus and An. mascarensis, from the south, central and east coasts of Madagascar.",1
INCHIKEY:KAATUXNTWXVJKI-NSHGMRRFSA-N||ChemicalEntity -- TEXT:OrganismTaxon:s.l||OrganismTaxon,Association,alpha-cypermethrin,alpha-cypermethrin,ChemicalEntity,INCHIKEY:KAATUXNTWXVJKI-NSHGMRRFSA-N,93357,KAATUXNTWXVJKI-NSHGMRRFSA-N,s.l.,s.l.,OrganismTaxon,TEXT:OrganismTaxon:s.l,,,General association,1,9.156735,9.157,28835269,1,True,False,"Insecticide resistance status of three malaria vectors, Anopheles gambiae (s.l.), An. funestus and An. mascarensis, from the south, central and east coasts of Madagascar.",1
INCHIKEY:QHOQHJPRIBSPCY-UHFFFAOYSA-N||ChemicalEntity -- INCHIKEY:XEGGRYVFLWGFHI-UHFFFAOYSA-N||ChemicalEntity,Association,bendiocarb,bendiocarb,ChemicalEntity,INCHIKEY:XEGGRYVFLWGFHI-UHFFFAOYSA-N,2314,XEGGRYVFLWGFHI-UHFFFAOYSA-N,pirimiphos-methyl,pirimiphos-methyl,ChemicalEntity,INCHIKEY:QHOQHJPRIBSPCY-UHFFFAOYSA-N,34526,QHOQHJPRIBSPCY-UHFFFAOYSA-N,General association,1,9.156735,9.157,28835269,1,True,False,"Insecticide resistance status of three malaria vectors, Anopheles gambiae (s.l.), An. funestus and An. mascarensis, from the south, central and east coasts of Madagascar.",1
INCHIKEY:IAJOBQBIJHVGMQ-UHFFFAOYSA-N||ChemicalEntity --> INCHIKEY:QGZKDVFQNNGYKY-UHFFFAOYSA-N||ChemicalEntity,Negative_Correlation,glufosinate,glufosinate,ChemicalEntity,INCHIKEY:IAJOBQBIJHVGMQ-UHFFFAOYSA-N,4794,IAJOBQBIJHVGMQ-UHFFFAOYSA-N,azane,azane,ChemicalEntity,INCHIKEY:QGZKDVFQNNGYKY-UHFFFAOYSA-N,222,QGZKDVFQNNGYKY-UHFFFAOYSA-N,Negative effect,1,9.156456,9.156,36232781,1,True,False,Genetic Analysis and Fine Mapping of ZmGHT1 Conferring Glufosinate Herbicide Tolerance in Maize (Zea mays L.).,1
